CustomerID,Gender,Age,Education,Marital Status,Annual Income (k$),Spending Score (1-100),Cluster,Customer_Persona,Marketing_Playbook
41,F,65,Graduate,Single,38,35,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
47,F,50,Doctorate,Married,40,55,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
51,F,49,Unknown,Married,42,52,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
54,M,59,Unknown,Married,43,60,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
55,F,50,Graduate,Married,43,45,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
56,M,47,Graduate,Unknown,43,41,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
57,F,51,Graduate,Single,44,50,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
58,M,69,Uneducated,Married,44,46,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
60,M,53,High School,Single,46,46,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
61,M,70,Unknown,Married,46,56,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
63,F,67,High School,Divorced,47,52,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
64,F,54,Post-Graduate,Single,47,59,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
65,M,63,High School,Single,48,51,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
67,F,43,College,Married,48,50,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
68,F,68,Uneducated,Single,48,48,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
71,M,70,Graduate,Single,49,55,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
72,F,47,Graduate,Married,49,42,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
73,F,60,Graduate,Unknown,50,49,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
74,F,60,Uneducated,Married,50,56,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
75,M,59,College,Single,54,47,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
77,F,45,Graduate,Single,54,53,4,"Stable Traditionalists (Mature, Mid Earnings, Mid Spending Profile)","Support with stable milestone loyalty point trackers, direct mailers, and customer service guarantees."
