CustomerID,Gender,Age,Education,Marital Status,Annual Income (k$),Spending Score (1-100),Cluster,Customer_Persona,Marketing_Playbook
113,F,38,High School,Divorced,64,42,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
122,F,38,Doctorate,Married,67,40,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
125,F,23,College,Single,70,29,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
127,M,43,Graduate,Single,71,35,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
129,M,59,High School,Single,71,11,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
131,M,47,Graduate,Married,71,9,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
133,F,25,Graduate,Married,72,34,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
135,M,20,Doctorate,Single,73,5,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
137,F,44,High School,Divorced,73,7,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
139,M,19,College,Married,74,10,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
141,F,57,High School,Married,75,5,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
143,F,28,Graduate,Married,76,40,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
145,M,25,College,Single,77,12,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
147,M,48,Graduate,Single,77,36,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
149,F,34,Graduate,Married,78,22,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
151,M,43,High School,Single,78,17,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
153,F,44,Graduate,Single,78,20,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
155,F,47,College,Married,78,16,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
157,M,37,High School,Single,78,1,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
159,M,34,Uneducated,Married,78,1,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
163,M,19,Uneducated,Married,81,5,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
165,M,50,Uneducated,Married,85,26,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
167,M,42,Uneducated,Married,86,20,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
169,F,36,Graduate,Single,87,27,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
171,M,40,Uneducated,Divorced,87,13,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
173,M,36,Unknown,Married,87,10,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
175,F,52,High School,Married,88,13,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
177,M,58,Uneducated,Married,88,15,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
179,M,59,Uneducated,Single,93,14,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
181,F,37,Uneducated,Married,97,32,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
183,M,46,Uneducated,Married,98,15,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
185,F,41,Graduate,Married,99,39,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
187,F,54,Post-Graduate,Single,101,24,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
189,F,41,High School,Married,103,17,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
191,F,34,Graduate,Married,103,23,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
193,M,33,Graduate,Married,113,8,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
195,F,47,Post-Graduate,Married,120,16,3,"Conservative Affluents (Mid-Age, High Earnings, Low Spending Profile)","Promote cashback credit cards, multi-device ecosystem warranties, and wealth asset protections."
