CustomerID,Gender,Age,Education,Marital Status,Annual Income (k$),Spending Score (1-100),Cluster,Customer_Persona,Marketing_Playbook
3,F,20,Graduate,Married,16,6,0,"Budget Frugals (Older, Low Earnings, Low Spending Profile)","Target with essential value bundles, clearance sales alerts, and plain discount coupons."
7,F,35,Unknown,Married,18,6,0,"Budget Frugals (Older, Low Earnings, Low Spending Profile)","Target with essential value bundles, clearance sales alerts, and plain discount coupons."
9,M,64,Uneducated,Single,19,3,0,"Budget Frugals (Older, Low Earnings, Low Spending Profile)","Target with essential value bundles, clearance sales alerts, and plain discount coupons."
11,M,67,Uneducated,Unknown,19,14,0,"Budget Frugals (Older, Low Earnings, Low Spending Profile)","Target with essential value bundles, clearance sales alerts, and plain discount coupons."
13,F,58,College,Single,20,15,0,"Budget Frugals (Older, Low Earnings, Low Spending Profile)","Target with essential value bundles, clearance sales alerts, and plain discount coupons."
15,M,37,Graduate,Married,20,13,0,"Budget Frugals (Older, Low Earnings, Low Spending Profile)","Target with essential value bundles, clearance sales alerts, and plain discount coupons."
17,F,35,Post-Graduate,Single,21,35,0,"Budget Frugals (Older, Low Earnings, Low Spending Profile)","Target with essential value bundles, clearance sales alerts, and plain discount coupons."
19,M,52,High School,Married,23,29,0,"Budget Frugals (Older, Low Earnings, Low Spending Profile)","Target with essential value bundles, clearance sales alerts, and plain discount coupons."
21,M,35,Doctorate,Divorced,24,35,0,"Budget Frugals (Older, Low Earnings, Low Spending Profile)","Target with essential value bundles, clearance sales alerts, and plain discount coupons."
23,F,46,High School,Married,25,5,0,"Budget Frugals (Older, Low Earnings, Low Spending Profile)","Target with essential value bundles, clearance sales alerts, and plain discount coupons."
25,F,54,Unknown,Married,28,14,0,"Budget Frugals (Older, Low Earnings, Low Spending Profile)","Target with essential value bundles, clearance sales alerts, and plain discount coupons."
27,F,45,High School,Unknown,28,32,0,"Budget Frugals (Older, Low Earnings, Low Spending Profile)","Target with essential value bundles, clearance sales alerts, and plain discount coupons."
29,F,40,Uneducated,Single,29,31,0,"Budget Frugals (Older, Low Earnings, Low Spending Profile)","Target with essential value bundles, clearance sales alerts, and plain discount coupons."
31,M,60,Unknown,Married,30,4,0,"Budget Frugals (Older, Low Earnings, Low Spending Profile)","Target with essential value bundles, clearance sales alerts, and plain discount coupons."
33,M,53,Graduate,Married,33,4,0,"Budget Frugals (Older, Low Earnings, Low Spending Profile)","Target with essential value bundles, clearance sales alerts, and plain discount coupons."
35,F,49,Graduate,Married,33,14,0,"Budget Frugals (Older, Low Earnings, Low Spending Profile)","Target with essential value bundles, clearance sales alerts, and plain discount coupons."
37,F,42,Graduate,Married,34,17,0,"Budget Frugals (Older, Low Earnings, Low Spending Profile)","Target with essential value bundles, clearance sales alerts, and plain discount coupons."
39,F,36,Graduate,Unknown,37,26,0,"Budget Frugals (Older, Low Earnings, Low Spending Profile)","Target with essential value bundles, clearance sales alerts, and plain discount coupons."
43,M,48,College,Single,39,36,0,"Budget Frugals (Older, Low Earnings, Low Spending Profile)","Target with essential value bundles, clearance sales alerts, and plain discount coupons."
45,F,49,Graduate,Single,39,28,0,"Budget Frugals (Older, Low Earnings, Low Spending Profile)","Target with essential value bundles, clearance sales alerts, and plain discount coupons."
