CustomerID,Gender,Age,Education,Marital Status,Annual Income (k$),Spending Score (1-100),Cluster,Customer_Persona,Marketing_Playbook
1,M,19,High School,Married,15,39,1,"Resourceful Trendsetters (Younger, Mid Earnings, High Spending Profile)","Engage via digital social campaigns, subscription flash sales, and buy-now-pay-later (BNPL) options."
2,M,21,Graduate,Single,15,81,1,"Resourceful Trendsetters (Younger, Mid Earnings, High Spending Profile)","Engage via digital social campaigns, subscription flash sales, and buy-now-pay-later (BNPL) options."
4,F,23,High School,Unknown,16,77,1,"Resourceful Trendsetters (Younger, Mid Earnings, High Spending Profile)","Engage via digital social campaigns, subscription flash sales, and buy-now-pay-later (BNPL) options."
5,F,31,Uneducated,Married,17,40,1,"Resourceful Trendsetters (Younger, Mid Earnings, High Spending Profile)","Engage via digital social campaigns, subscription flash sales, and buy-now-pay-later (BNPL) options."
6,F,22,Graduate,Married,17,76,1,"Resourceful Trendsetters (Younger, Mid Earnings, High Spending Profile)","Engage via digital social campaigns, subscription flash sales, and buy-now-pay-later (BNPL) options."
8,F,23,High School,Unknown,18,94,1,"Resourceful Trendsetters (Younger, Mid Earnings, High Spending Profile)","Engage via digital social campaigns, subscription flash sales, and buy-now-pay-later (BNPL) options."
10,F,30,Graduate,Single,19,72,1,"Resourceful Trendsetters (Younger, Mid Earnings, High Spending Profile)","Engage via digital social campaigns, subscription flash sales, and buy-now-pay-later (BNPL) options."
12,F,35,Unknown,Married,19,99,1,"Resourceful Trendsetters (Younger, Mid Earnings, High Spending Profile)","Engage via digital social campaigns, subscription flash sales, and buy-now-pay-later (BNPL) options."
14,F,24,Graduate,Unknown,20,77,1,"Resourceful Trendsetters (Younger, Mid Earnings, High Spending Profile)","Engage via digital social campaigns, subscription flash sales, and buy-now-pay-later (BNPL) options."
16,M,22,Unknown,Unknown,20,79,1,"Resourceful Trendsetters (Younger, Mid Earnings, High Spending Profile)","Engage via digital social campaigns, subscription flash sales, and buy-now-pay-later (BNPL) options."
18,M,20,Unknown,Married,21,66,1,"Resourceful Trendsetters (Younger, Mid Earnings, High Spending Profile)","Engage via digital social campaigns, subscription flash sales, and buy-now-pay-later (BNPL) options."
20,F,35,Graduate,Married,23,98,1,"Resourceful Trendsetters (Younger, Mid Earnings, High Spending Profile)","Engage via digital social campaigns, subscription flash sales, and buy-now-pay-later (BNPL) options."
22,M,25,Graduate,Married,24,73,1,"Resourceful Trendsetters (Younger, Mid Earnings, High Spending Profile)","Engage via digital social campaigns, subscription flash sales, and buy-now-pay-later (BNPL) options."
24,M,31,Unknown,Single,25,73,1,"Resourceful Trendsetters (Younger, Mid Earnings, High Spending Profile)","Engage via digital social campaigns, subscription flash sales, and buy-now-pay-later (BNPL) options."
26,M,29,Graduate,Single,28,82,1,"Resourceful Trendsetters (Younger, Mid Earnings, High Spending Profile)","Engage via digital social campaigns, subscription flash sales, and buy-now-pay-later (BNPL) options."
28,M,35,Unknown,Married,28,61,1,"Resourceful Trendsetters (Younger, Mid Earnings, High Spending Profile)","Engage via digital social campaigns, subscription flash sales, and buy-now-pay-later (BNPL) options."
30,F,23,High School,Married,29,87,1,"Resourceful Trendsetters (Younger, Mid Earnings, High Spending Profile)","Engage via digital social campaigns, subscription flash sales, and buy-now-pay-later (BNPL) options."
32,F,21,Uneducated,Married,30,73,1,"Resourceful Trendsetters (Younger, Mid Earnings, High Spending Profile)","Engage via digital social campaigns, subscription flash sales, and buy-now-pay-later (BNPL) options."
34,M,18,College,Married,33,92,1,"Resourceful Trendsetters (Younger, Mid Earnings, High Spending Profile)","Engage via digital social campaigns, subscription flash sales, and buy-now-pay-later (BNPL) options."
36,F,21,College,Single,33,81,1,"Resourceful Trendsetters (Younger, Mid Earnings, High Spending Profile)","Engage via digital social campaigns, subscription flash sales, and buy-now-pay-later (BNPL) options."
38,F,30,High School,Married,34,73,1,"Resourceful Trendsetters (Younger, Mid Earnings, High Spending Profile)","Engage via digital social campaigns, subscription flash sales, and buy-now-pay-later (BNPL) options."
