CustomerID,Gender,Age,Education,Marital Status,Annual Income (k$),Spending Score (1-100),Cluster,Customer_Persona,Marketing_Playbook
123,F,40,High School,Married,69,58,2,"Premium High-Rollers (Mid-Age, High Earnings, High Spending Profile)","Enroll in elite concierge tiers, VIP product previews, and assign premium account managers."
124,M,39,High School,Single,69,91,2,"Premium High-Rollers (Mid-Age, High Earnings, High Spending Profile)","Enroll in elite concierge tiers, VIP product previews, and assign premium account managers."
126,F,31,Graduate,Single,70,77,2,"Premium High-Rollers (Mid-Age, High Earnings, High Spending Profile)","Enroll in elite concierge tiers, VIP product previews, and assign premium account managers."
128,M,40,Graduate,Married,71,95,2,"Premium High-Rollers (Mid-Age, High Earnings, High Spending Profile)","Enroll in elite concierge tiers, VIP product previews, and assign premium account managers."
130,M,38,Uneducated,Unknown,71,75,2,"Premium High-Rollers (Mid-Age, High Earnings, High Spending Profile)","Enroll in elite concierge tiers, VIP product previews, and assign premium account managers."
132,M,39,Unknown,Married,71,75,2,"Premium High-Rollers (Mid-Age, High Earnings, High Spending Profile)","Enroll in elite concierge tiers, VIP product previews, and assign premium account managers."
134,F,31,Graduate,Married,72,71,2,"Premium High-Rollers (Mid-Age, High Earnings, High Spending Profile)","Enroll in elite concierge tiers, VIP product previews, and assign premium account managers."
136,F,29,Graduate,Single,73,88,2,"Premium High-Rollers (Mid-Age, High Earnings, High Spending Profile)","Enroll in elite concierge tiers, VIP product previews, and assign premium account managers."
138,M,32,College,Divorced,73,73,2,"Premium High-Rollers (Mid-Age, High Earnings, High Spending Profile)","Enroll in elite concierge tiers, VIP product previews, and assign premium account managers."
140,F,35,Post-Graduate,Single,74,72,2,"Premium High-Rollers (Mid-Age, High Earnings, High Spending Profile)","Enroll in elite concierge tiers, VIP product previews, and assign premium account managers."
142,M,32,Unknown,Single,75,93,2,"Premium High-Rollers (Mid-Age, High Earnings, High Spending Profile)","Enroll in elite concierge tiers, VIP product previews, and assign premium account managers."
144,F,32,Graduate,Single,76,87,2,"Premium High-Rollers (Mid-Age, High Earnings, High Spending Profile)","Enroll in elite concierge tiers, VIP product previews, and assign premium account managers."
146,M,28,Uneducated,Married,77,97,2,"Premium High-Rollers (Mid-Age, High Earnings, High Spending Profile)","Enroll in elite concierge tiers, VIP product previews, and assign premium account managers."
148,F,32,Graduate,Married,77,74,2,"Premium High-Rollers (Mid-Age, High Earnings, High Spending Profile)","Enroll in elite concierge tiers, VIP product previews, and assign premium account managers."
150,M,34,High School,Married,78,90,2,"Premium High-Rollers (Mid-Age, High Earnings, High Spending Profile)","Enroll in elite concierge tiers, VIP product previews, and assign premium account managers."
152,M,39,Graduate,Married,78,88,2,"Premium High-Rollers (Mid-Age, High Earnings, High Spending Profile)","Enroll in elite concierge tiers, VIP product previews, and assign premium account managers."
154,F,38,Uneducated,Single,78,76,2,"Premium High-Rollers (Mid-Age, High Earnings, High Spending Profile)","Enroll in elite concierge tiers, VIP product previews, and assign premium account managers."
156,F,27,Unknown,Married,78,89,2,"Premium High-Rollers (Mid-Age, High Earnings, High Spending Profile)","Enroll in elite concierge tiers, VIP product previews, and assign premium account managers."
158,F,30,Doctorate,Married,78,78,2,"Premium High-Rollers (Mid-Age, High Earnings, High Spending Profile)","Enroll in elite concierge tiers, VIP product previews, and assign premium account managers."
160,F,30,Graduate,Divorced,78,73,2,"Premium High-Rollers (Mid-Age, High Earnings, High Spending Profile)","Enroll in elite concierge tiers, VIP product previews, and assign premium account managers."
162,F,29,College,Single,79,83,2,"Premium High-Rollers (Mid-Age, High Earnings, High Spending Profile)","Enroll in elite concierge tiers, VIP product previews, and assign premium account managers."
164,F,31,Unknown,Divorced,81,93,2,"Premium High-Rollers (Mid-Age, High Earnings, High Spending Profile)","Enroll in elite concierge tiers, VIP product previews, and assign premium account managers."
166,F,36,Uneducated,Married,85,75,2,"Premium High-Rollers (Mid-Age, High Earnings, High Spending Profile)","Enroll in elite concierge tiers, VIP product previews, and assign premium account managers."
168,F,33,Uneducated,Married,86,95,2,"Premium High-Rollers (Mid-Age, High Earnings, High Spending Profile)","Enroll in elite concierge tiers, VIP product previews, and assign premium account managers."
170,M,32,High School,Married,87,63,2,"Premium High-Rollers (Mid-Age, High Earnings, High Spending Profile)","Enroll in elite concierge tiers, VIP product previews, and assign premium account managers."
172,M,28,High School,Married,87,75,2,"Premium High-Rollers (Mid-Age, High Earnings, High Spending Profile)","Enroll in elite concierge tiers, VIP product previews, and assign premium account managers."
174,M,36,High School,Married,87,92,2,"Premium High-Rollers (Mid-Age, High Earnings, High Spending Profile)","Enroll in elite concierge tiers, VIP product previews, and assign premium account managers."
176,F,30,Graduate,Divorced,88,86,2,"Premium High-Rollers (Mid-Age, High Earnings, High Spending Profile)","Enroll in elite concierge tiers, VIP product previews, and assign premium account managers."
